age,income,account_age,clicks_last_month,promo_clicks,engagement_score,last_login_days,subscription_type,region,device_type,previous_upsell_attempts,average_session_time,upsell
16,,34,2,0,9.43,0,Advanced,South,Desktop,1,4.53,0
52,462.63,26,17,0,27.43,15,Advanced,North,Desktop,4,13.57,1
37,409.21,8,9,2,6.61,26,Premium,West,Desktop,2,3.81,0
16,922.8,19,19,0,0.0,2,Basic,East,Desktop,1,3.12,1
66,325.32,22,42,3,0.0,23,Advanced,East,Desktop,0,8.97,0
63,698.51,17,29,8,0.0,31,Premium,East,Tablet,2,1.95,0
52,436.06,13,9,8,0.0,17,Premium,South,Mobile,1,6.01,0
45,322.68,24,32,0,0.0,16,Basic,South,Desktop,0,3.96,0
18,465.95,14,34,6,0.0,0,Premium,South,Tablet,4,12.27,1
40,1060.71,34,13,0,29.8,36,Basic,North,Desktop,2,6.4,1
55,1851.62,11,16,3,19.03,21,Basic,South,Desktop,0,8.23,1
44,1226.49,19,0,20,0.0,0,Advanced,West,Tablet,3,0.27,0
16,4009.56,21,8,0,14.25,4,Premium,West,Desktop,0,1.83,0
72,2094.12,14,44,16,0.0,25,Advanced,South,Tablet,2,3.97,0
16,2342.27,35,34,0,8.02,0,Basic,North,Mobile,3,10.28,0
44,597.51,10,18,0,12.56,30,Premium,East,Desktop,0,3.35,1
34,643.99,20,21,0,0.0,13,Premium,North,Tablet,1,8.33,0
44,1689.69,18,25,0,10.35,17,Advanced,East,Mobile,2,6.5,0
32,1408.22,36,5,10,3.5,41,Premium,West,Tablet,2,5.04,0
46,1351.88,15,19,11,0.0,0,Basic,East,Tablet,4,11.64,0
16,4271.64,38,0,0,36.14,47,Premium,West,Mobile,2,16.41,0
20,823.97,22,13,0,19.68,15,Premium,North,Tablet,4,1.42,0
27,727.27,11,24,0,5.73,22,Premium,North,Mobile,0,20.28,0
58,7060.99,31,38,0,0.0,13,Premium,South,Mobile,4,0.38,0
74,4757.85,47,14,2,27.55,70,Premium,West,Desktop,3,12.82,1
34,1867.11,23,6,0,0.0,24,Basic,East,Desktop,3,12.81,0
35,402.94,10,12,0,0.0,18,Basic,West,Desktop,1,3.07,1
59,1248.21,13,37,6,,0,Advanced,West,Desktop,2,15.05,0
56,428.81,22,22,8,16.37,36,Premium,East,Mobile,1,4.56,0
25,1177.39,19,28,0,9.73,0,Advanced,East,Mobile,1,1.19,0
56,3282.19,14,0,20,0.0,0,Advanced,North,Mobile,3,24.6,0
72,244.37,36,43,0,14.14,12,Basic,North,Desktop,4,14.55,1
16,361.19,27,4,0,0.0,0,Advanced,North,Mobile,3,5.52,0
64,96.38,0,24,1,0.0,0,Advanced,West,Tablet,1,12.53,0
68,214.03,18,23,0,29.2,29,Premium,South,Desktop,2,16.34,1
63,6374.78,21,28,13,0.0,6,Advanced,North,Mobile,3,13.91,0
27,435.14,3,16,0,23.8,33,Advanced,South,Tablet,1,13.62,0
36,1059.66,1,22,0,28.82,44,Advanced,East,Tablet,4,10.06,0
67,990.16,23,37,9,,14,Premium,West,Tablet,0,9.41,0
23,,19,24,0,9.57,0,Basic,East,Mobile,3,2.38,0
52,2674.39,3,33,0,0.0,2,Advanced,West,Mobile,4,17.11,0
16,1286.03,35,0,0,31.65,35,Basic,West,Tablet,4,12.23,0
52,430.0,20,7,3,0.0,50,Advanced,East,Mobile,4,7.82,0
48,939.9,2,16,4,0.0,9,Basic,East,Desktop,1,10.02,0
64,281.58,1,28,12,0.0,18,Basic,South,Tablet,0,7.6,0
49,1991.96,35,32,15,0.0,15,Premium,North,Desktop,3,5.0,0
48,205.12,10,31,0,32.33,27,Advanced,North,Mobile,4,7.83,1
51,2810.46,38,9,13,9.65,30,Advanced,East,Mobile,1,6.45,0
42,817.14,26,17,15,0.0,2,Premium,North,Tablet,1,11.88,0
16,481.66,24,0,0,25.47,30,Basic,East,Desktop,4,13.28,0
19,,21,32,9,0.0,0,Advanced,North,Tablet,1,12.9,0
16,2077.13,22,25,0,,28,Premium,South,Mobile,4,18.92,1
61,231.19,43,21,22,0.0,0,Premium,West,Mobile,4,24.83,0
53,588.06,20,29,0,0.0,8,Basic,South,Tablet,4,1.91,0
16,329.86,18,1,0,18.72,32,Advanced,South,Tablet,1,21.09,0
16,1038.95,23,28,0,14.09,15,Premium,North,Mobile,0,9.94,0
54,,0,14,9,0.0,0,Advanced,East,Mobile,1,11.3,0
30,360.4,4,10,0,23.62,55,Advanced,South,Tablet,0,21.83,0
35,160.68,8,20,0,4.04,11,Advanced,West,Desktop,0,11.64,0
30,,19,0,4,0.0,16,Basic,East,Desktop,2,0.11,0
52,660.15,6,13,0,19.52,12,Basic,West,Mobile,2,14.51,1
53,528.67,4,50,3,4.65,15,Basic,North,Mobile,2,6.09,0
75,181.2,12,0,0,31.21,49,Basic,East,Tablet,3,10.78,1
16,1710.89,11,4,0,0.0,6,Basic,East,Mobile,4,5.86,1
16,1415.33,9,0,0,0.62,13,Basic,North,Desktop,1,9.04,0
29,1195.72,25,16,0,0.43,2,Basic,North,Desktop,1,14.02,0
43,711.14,1,19,0,41.16,40,Basic,South,Mobile,4,8.15,0
38,251.97,5,21,0,33.79,56,Basic,East,Mobile,4,12.93,0
73,5118.44,5,20,13,0.0,0,Basic,West,Mobile,0,23.76,0
19,491.43,26,13,0,14.77,19,Basic,West,Mobile,4,8.68,0
51,921.03,18,15,9,0.0,9,Advanced,East,Desktop,2,21.3,0
47,1168.48,5,27,0,28.89,69,Advanced,West,Desktop,3,26.29,0
27,211.89,6,17,4,0.0,8,Premium,East,Tablet,4,20.86,0
20,680.03,21,21,0,10.18,8,Advanced,North,Desktop,0,6.78,0
18,826.34,12,12,0,10.51,0,Premium,West,Tablet,3,5.05,0
40,578.05,40,28,4,0.0,39,Advanced,East,Mobile,0,4.12,0
22,1386.45,33,22,0,37.6,35,Basic,South,Tablet,3,7.98,0
28,1218.94,15,25,0,19.18,14,Basic,East,Tablet,0,1.35,0
29,2257.56,10,16,0,,14,Advanced,West,Tablet,0,14.78,0
25,665.36,23,8,2,11.51,15,Advanced,West,Mobile,4,18.85,0
34,4642.8,4,28,0,1.81,0,Premium,South,Mobile,4,13.07,0
62,6442.49,9,30,0,17.55,29,Premium,North,Mobile,3,15.81,1
63,333.04,17,15,8,0.0,22,Basic,East,Mobile,3,11.31,0
16,1500.62,22,0,0,36.47,26,Basic,South,Tablet,2,7.98,0
39,2009.89,13,31,0,19.94,36,Premium,South,Desktop,1,15.58,0
56,2403.03,18,22,1,0.0,20,Advanced,West,Desktop,3,2.24,0
16,,41,15,0,0.0,0,Basic,West,Desktop,3,4.69,0
29,969.85,3,17,0,17.35,15,Premium,South,Tablet,4,20.2,1
30,465.93,1,13,5,0.0,7,Premium,North,Tablet,3,16.21,0
66,555.0,5,15,16,0.0,0,Premium,North,Tablet,4,17.48,0
16,1582.82,7,0,0,0.0,0,Advanced,South,Desktop,4,17.27,1
55,1420.24,28,39,7,0.0,14,Premium,West,Tablet,1,16.29,0
36,3365.85,3,27,0,10.27,12,Advanced,South,Mobile,2,0.26,0
16,434.32,31,0,16,0.0,0,Advanced,West,Mobile,2,1.95,0
59,911.34,31,61,0,0.0,31,Advanced,South,Tablet,2,12.43,0
35,790.88,4,6,0,0.0,22,Advanced,West,Mobile,2,5.65,0
32,6460.07,2,39,0,11.08,25,Basic,West,Tablet,3,17.37,0
20,1683.93,14,11,0,14.51,9,Advanced,South,Desktop,4,0.65,0
16,1522.05,34,16,0,14.37,12,Advanced,East,Desktop,2,14.1,0
56,884.02,4,13,10,0.0,0,Advanced,North,Mobile,3,9.52,0
51,1275.73,13,13,0,24.12,10,Basic,East,Mobile,4,8.57,1
61,1295.01,14,23,0,0.0,0,Basic,West,Mobile,1,3.26,0
31,1485.38,9,26,6,0.0,0,Premium,North,Mobile,2,0.52,0
35,1541.97,1,15,0,29.59,42,Basic,North,Mobile,4,8.63,1
37,2600.01,25,4,0,33.65,22,Advanced,South,Desktop,4,10.33,1
60,4184.5,7,43,0,7.87,39,Advanced,North,Mobile,4,11.05,1
30,439.14,4,8,0,7.88,17,Basic,South,Desktop,4,6.82,0
63,4106.02,15,18,20,0.0,0,Premium,North,Tablet,2,19.82,0
24,831.89,16,3,0,23.14,24,Premium,West,Tablet,0,0.2,0
36,421.94,17,0,0,7.59,20,Premium,North,Desktop,0,2.54,1
16,545.59,30,10,0,0.0,0,Premium,North,Mobile,1,4.09,0
16,2112.78,25,12,0,0.0,0,Premium,West,Desktop,0,7.21,0
39,1634.86,12,0,0,20.42,27,Premium,North,Desktop,1,5.45,1
21,563.75,28,14,0,38.54,42,Advanced,South,Tablet,0,12.46,0
44,2653.27,25,20,0,0.0,23,Premium,North,Tablet,3,6.18,0
54,376.87,16,47,1,0.0,31,Basic,North,Tablet,4,6.2,0
28,297.93,7,17,0,6.12,5,Premium,East,Desktop,2,6.55,0
16,742.12,3,0,0,0.79,0,Basic,North,Tablet,2,15.6,1
16,574.03,18,0,0,30.26,27,Premium,North,Tablet,2,1.3,0
41,967.61,42,16,9,0.0,31,Advanced,East,Tablet,2,4.57,0
35,5074.25,1,0,4,0.0,20,Premium,East,Tablet,3,3.94,1
67,228.97,22,34,11,0.0,24,Basic,West,Desktop,0,2.11,0
27,,17,0,0,21.82,20,Premium,North,Desktop,2,6.64,0
33,,5,34,6,0.0,0,Basic,West,Desktop,3,5.61,0
63,2529.13,31,22,15,0.0,18,Premium,North,Tablet,0,2.14,0
16,937.12,28,6,0,20.87,11,Advanced,North,Tablet,3,1.86,0
33,1353.94,6,0,1,2.3,8,Basic,North,Desktop,0,9.82,0
33,1982.88,6,31,0,15.37,33,Premium,West,Mobile,4,10.43,0
39,1791.74,41,36,0,39.68,60,Premium,West,Mobile,2,14.01,1
46,1410.79,15,25,0,0.0,5,Advanced,North,Desktop,3,7.77,1
22,3733.62,12,0,0,25.26,36,Basic,South,Mobile,1,11.02,0
45,612.78,1,0,13,0.0,0,Basic,South,Desktop,0,18.86,0
29,600.86,2,20,10,0.0,0,Premium,West,Desktop,1,13.43,1
32,1392.04,2,30,0,0.0,0,Basic,West,Tablet,4,3.46,0
19,2090.09,11,41,0,12.82,25,Basic,South,Desktop,0,18.97,0
46,346.8,8,15,10,0.0,0,Advanced,North,Mobile,0,6.47,0
46,1309.03,9,24,5,0.0,2,Basic,East,Tablet,2,7.84,0
22,651.54,15,28,0,16.98,24,Advanced,South,Tablet,3,5.96,0
58,338.07,2,16,6,0.0,0,Advanced,East,Desktop,2,6.65,0
32,3579.91,7,35,0,12.83,18,Basic,East,Tablet,2,7.21,0
44,621.29,43,17,15,0.0,17,Basic,South,Tablet,4,7.19,0
32,1684.87,34,13,2,0.0,41,Premium,North,Mobile,3,9.81,0
16,3089.12,41,14,0,17.18,4,Basic,East,Tablet,1,4.19,0
52,3590.73,18,0,10,28.53,25,Premium,East,Tablet,4,4.33,1
37,1173.14,4,17,0,14.42,47,Advanced,North,Tablet,0,24.54,0
16,2169.05,26,17,0,10.14,16,Basic,North,Tablet,3,17.66,0
22,2837.07,23,10,10,0.0,0,Advanced,West,Mobile,3,9.2,0
25,339.2,22,16,0,3.18,3,Advanced,West,Tablet,0,6.24,1
27,298.92,33,34,1,19.86,9,Premium,South,Mobile,0,0.95,0
53,2509.51,25,8,11,15.66,34,Basic,South,Desktop,2,13.75,0
31,1197.85,15,12,0,4.76,20,Basic,North,Desktop,2,19.26,1
17,121.24,0,0,0,41.49,66,Advanced,West,Desktop,2,14.94,0
38,614.67,9,0,11,0.0,0,Basic,South,Tablet,4,3.58,0
60,575.32,8,20,12,13.12,22,Advanced,West,Tablet,0,18.6,0
16,4186.74,34,0,0,14.95,16,Advanced,South,Mobile,4,12.91,0
36,2943.87,30,17,3,0.0,31,Basic,North,Tablet,1,1.36,0
50,1720.8,14,45,0,6.78,25,Premium,North,Mobile,1,11.16,0
32,3224.16,23,16,14,4.81,9,Premium,East,Mobile,2,1.21,1
28,2568.54,26,28,2,16.5,0,Premium,North,Mobile,0,1.06,0
41,406.21,15,0,8,0.0,4,Basic,South,Tablet,0,3.29,0
71,,19,46,3,0.0,7,Basic,North,Tablet,3,15.16,0
23,867.25,32,33,0,17.95,6,Basic,West,Desktop,2,0.63,0
16,2613.44,45,0,0,39.13,32,Premium,South,Tablet,3,4.58,0
22,798.82,10,11,3,0.0,1,Advanced,West,Tablet,3,12.61,0
34,1807.49,2,26,4,0.0,0,Premium,North,Tablet,2,6.76,0
39,369.97,4,19,0,,37,Premium,South,Tablet,0,14.25,0
48,3864.17,22,19,1,0.0,4,Advanced,West,Desktop,4,6.11,0
16,623.41,16,0,0,34.58,44,Basic,East,Mobile,4,9.04,0
21,1204.67,8,8,0,15.41,13,Premium,East,Tablet,2,0.55,0
56,449.69,7,23,2,0.0,0,Premium,South,Mobile,3,7.76,0
36,1521.35,12,0,5,0.0,17,Premium,West,Mobile,2,2.35,0
45,716.38,36,18,0,2.12,1,Basic,South,Tablet,4,1.92,1
27,1707.85,8,14,0,38.21,58,Basic,North,Desktop,3,14.12,0
37,718.62,0,1,0,32.02,14,Premium,West,Desktop,1,13.84,1
55,,30,16,9,0.0,19,Basic,East,Tablet,4,1.43,0
26,825.55,8,22,0,2.82,0,Basic,North,Tablet,3,6.5,0
60,1168.08,22,43,0,0.0,19,Premium,East,Tablet,2,1.56,0
51,7925.23,4,37,0,0.0,25,Basic,North,Tablet,0,10.32,0
39,572.33,2,20,7,0.0,0,Advanced,South,Mobile,1,0.65,0
50,2833.21,32,11,15,0.0,19,Advanced,West,Tablet,0,7.69,0
23,1288.61,0,8,0,0.0,13,Advanced,East,Desktop,2,16.74,0
27,431.64,8,26,0,6.3,15,Basic,North,Mobile,2,16.65,0
23,,19,0,5,0.0,22,Advanced,East,Tablet,2,7.57,0
40,347.04,14,29,0,17.57,25,Basic,South,Tablet,0,11.81,0
55,18566.55,19,24,14,0.0,6,Basic,North,Mobile,3,18.59,0
57,417.66,33,21,8,0.0,26,Premium,North,Mobile,2,6.39,0
24,1940.56,3,14,0,3.06,30,Basic,South,Tablet,0,25.66,0
16,731.46,15,11,0,8.03,0,Advanced,North,Tablet,0,8.43,0
17,524.97,22,0,0,15.53,12,Premium,East,Tablet,2,2.13,1
16,431.29,42,4,0,8.83,14,Basic,West,Tablet,3,26.34,0
16,,31,16,0,30.91,33,Basic,East,Desktop,1,6.77,0
16,2156.73,37,23,0,28.46,19,Basic,East,Desktop,2,6.84,0
17,211.8,0,0,0,18.18,17,Basic,East,Mobile,3,35.25,1
49,1270.62,21,6,22,0.0,0,Basic,North,Desktop,3,8.31,1
36,1495.06,3,22,0,37.0,54,Premium,West,Mobile,0,3.83,0
42,652.73,12,36,0,4.21,5,Premium,East,Tablet,2,0.54,0
61,575.98,31,31,1,0.88,44,Advanced,West,Desktop,0,7.58,0
21,1073.06,20,7,0,5.92,0,Advanced,West,Desktop,1,0.49,0
49,447.04,4,0,10,0.0,6,Advanced,South,Desktop,0,2.58,0
63,1359.65,7,10,13,0.0,0,Basic,West,Tablet,0,21.86,0
16,1672.25,20,22,0,0.0,0,Basic,West,Tablet,3,1.36,0
16,342.58,21,24,0,0.0,0,Advanced,South,Desktop,1,25.24,1
16,1008.9,58,36,0,0.0,14,Premium,East,Desktop,3,0.11,1
27,109.45,15,39,0,18.79,26,Basic,South,Desktop,2,11.04,0
64,266.29,6,14,13,0.0,0,Basic,East,Mobile,4,3.74,0
25,554.55,8,26,0,0.0,0,Basic,South,Tablet,1,1.42,0
16,1944.08,40,0,0,11.83,21,Premium,West,Desktop,0,21.87,0
16,427.61,39,0,0,21.65,0,Premium,West,Tablet,2,0.38,0
51,407.94,11,15,2,0.0,1,Premium,East,Desktop,4,12.67,0
16,115.18,20,12,0,22.79,37,Advanced,West,Tablet,2,20.81,0
49,1105.45,33,22,11,12.13,36,Advanced,South,Mobile,3,5.34,0
37,962.21,2,36,0,29.83,42,Premium,South,Tablet,0,6.02,1
20,2440.54,8,25,0,15.41,24,Advanced,East,Mobile,4,10.78,0
16,3598.96,18,22,0,14.47,52,Basic,West,Desktop,0,22.97,1
16,1770.26,34,0,0,13.53,1,Premium,West,Desktop,1,6.77,0
53,605.26,13,18,23,0.0,0,Premium,South,Desktop,1,22.51,0
22,1343.05,25,4,0,39.6,43,Premium,East,Mobile,4,11.58,0
43,527.41,10,63,10,0.0,0,Premium,South,Mobile,3,10.74,0
64,195.87,14,17,20,13.37,42,Premium,South,Mobile,0,5.2,0
55,570.53,26,34,0,1.95,50,Premium,East,Desktop,3,8.46,0
63,1678.4,19,17,14,0.0,17,Premium,East,Tablet,2,12.95,0
31,1388.55,13,37,8,,0,Premium,South,Mobile,3,15.76,0
58,715.83,14,14,3,14.32,21,Basic,North,Mobile,4,3.29,1
43,924.93,3,6,0,39.01,48,Basic,West,Desktop,4,3.53,0
16,241.26,24,0,0,9.05,19,Basic,East,Desktop,0,13.22,0
16,1050.06,35,28,0,13.08,17,Premium,East,Tablet,1,13.85,1
27,2630.51,3,52,3,0.0,0,Premium,South,Mobile,4,6.58,0
62,2005.22,6,32,4,0.0,12,Basic,East,Tablet,3,2.79,0
16,733.72,11,5,0,0.0,0,Premium,West,Desktop,0,4.84,0
16,702.85,29,15,4,0.0,4,Advanced,North,Desktop,2,0.58,1
29,894.08,14,17,0,10.4,9,Advanced,North,Desktop,0,4.75,0
59,472.04,11,10,15,0.0,0,Advanced,West,Desktop,1,18.49,0
21,7510.51,18,19,0,3.15,10,Advanced,North,Tablet,2,11.8,0
48,950.58,7,7,7,0.0,0,Premium,South,Tablet,1,6.11,0
17,3975.38,14,0,0,21.76,24,Advanced,East,Mobile,4,5.43,0
65,549.33,17,16,3,0.0,2,Advanced,South,Tablet,1,9.63,0
44,4525.28,20,5,0,19.03,19,Premium,East,Mobile,3,7.36,1
66,2221.04,16,26,6,,7,Advanced,South,Tablet,0,4.74,0
24,,17,4,0,42.14,44,Premium,East,Mobile,4,7.63,0
38,1567.42,28,14,13,0.0,2,Premium,North,Desktop,1,12.87,0
16,1435.46,28,0,0,32.59,22,Basic,North,Tablet,3,0.72,0
25,542.87,47,43,1,27.72,11,Premium,West,Tablet,0,7.75,0
16,670.68,3,18,0,1.94,0,Premium,East,Tablet,0,3.76,1
22,331.48,4,7,0,21.68,14,Advanced,South,Mobile,4,14.45,1
36,6710.02,7,28,8,0.0,2,Advanced,East,Tablet,2,16.58,0
74,,17,54,12,0.0,10,Premium,North,Desktop,2,17.7,0
67,1463.2,13,18,16,0.0,0,Advanced,South,Tablet,3,18.6,0
63,,15,24,8,0.0,16,Premium,South,Tablet,3,4.89,0
40,33563.68,15,55,8,20.03,34,Basic,West,Desktop,4,22.36,0
23,132.92,4,7,0,32.97,45,Premium,South,Tablet,4,11.67,0
45,4808.04,12,6,18,0.0,7,Premium,North,Desktop,1,12.14,0
30,678.93,27,28,0,,32,Advanced,North,Mobile,2,29.27,0
47,1065.09,16,12,5,,28,Premium,South,Tablet,2,1.01,0
42,785.16,31,9,27,0.0,12,Basic,North,Desktop,4,5.55,0
70,2974.22,24,43,1,,26,Basic,North,Tablet,4,12.71,0
52,324.83,23,0,22,0.0,0,Basic,South,Desktop,1,19.88,0
16,532.8,25,0,0,11.53,0,Premium,South,Desktop,1,1.98,0
42,267.43,5,0,0,0.0,0,Advanced,East,Desktop,1,3.96,0
49,731.23,13,23,0,0.0,4,Advanced,South,Tablet,0,6.35,0
50,1294.71,13,0,11,0.0,7,Advanced,North,Desktop,3,3.22,0
62,174.44,5,20,0,,0,Advanced,West,Tablet,4,13.52,0
44,374.31,35,7,13,0.0,1,Advanced,West,Tablet,4,6.83,0
54,663.42,38,30,7,0.0,21,Advanced,East,Mobile,3,5.7,0
50,1155.1,27,24,6,0.0,23,Basic,West,Mobile,4,2.26,0
27,1287.1,13,11,0,6.98,9,Basic,West,Mobile,2,2.07,0
32,529.65,27,0,10,0.0,23,Premium,South,Desktop,1,8.97,0
16,2655.28,36,0,0,7.22,1,Basic,North,Tablet,2,9.03,0
80,544.81,23,63,1,0.0,34,Premium,North,Tablet,3,2.41,0
60,55.33,24,19,2,0.0,20,Premium,West,Desktop,1,3.89,0
59,1413.44,30,25,0,0.0,11,Premium,West,Tablet,2,8.79,0
